ν/p,0.001,0.0025,0.005,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,0.995,0.9975,0.999
50,86.6603,82.6637,79.4898,76.1538,71.4202,67.5048,63.1671,60.3460,58.1638,56.3336,54.7228,53.2576,51.8916,50.5923,49.3349,48.0986,46.8638,45.6100,44.3133,42.9421,41.4492,39.7539,37.6886,34.7642,32.3574,29.7067,27.9908,26.4636,24.6736
55,93.1671,89.0344,85.7491,82.2920,77.3804,73.3115,68.7962,65.8550,63.5772,61.6650,59.9804,58.4469,57.0160,55.6539,54.3348,53.0367,51.7391,50.4204,49.0554,47.6105,46.0356,44.2448,42.0596,38.9581,36.3981,33.5705,31.7349,30.0974,28.1731
60,99.6078,95.3443,91.9518,88.3794,83.2977,79.0820,74.3970,71.3411,68.9721,66.9815,65.2265,63.6277,62.1348,60.7128,59.3347,57.9775,56.6200,55.2394,53.8091,52.2938,50.6406,48.7587,46.4589,43.1880,40.4817,37.4848,35.5344,33.7909,31.7381
70,112.3167,107.8079,104.2148,100.4251,95.0231,90.5313,85.5270,82.2553,79.7147,77.5766,75.6893,73.9677,72.3583,70.8236,69.3345,67.8664,66.3961,64.8990,63.3460,61.6983,59.8978,57.8443,55.3289,51.7393,48.7575,45.4417,43.2753,41.3323,39.0358
80,124.8389,120.1018,116.3209,112.3288,106.6285,101.8795,96.5782,93.1058,90.4053,88.1303,86.1197,84.2840,82.5663,80.9266,79.3343,77.7631,76.1879,74.5825,72.9153,71.1445,69.2070,66.9938,64.2778,60.3915,57.1532,53.5400,51.1719,49.0430,46.5197
90,137.2082,132.2554,128.2987,124.1162,118.1359,113.1452,107.5650,103.9040,101.0537,98.6499,96.5238,94.5809,92.7614,91.0234,89.3342,87.6661,85.9925,84.2854,82.5111,80.6247,78.5584,76.1954,73.2911,69.1260,65.6466,61.7540,59.1963,56.8918,54.1559
100,149.4488,144.2925,140.1697,135.8069,129.5613,124.3421,118.4980,114.6588,111.6667,109.1412,106.9058,104.8615,102.9459,101.1149,99.3341,97.5744,95.8078,94.0046,92.1290,90.1332,87.9453,85.4406,82.3581,77.9294,74.2219,70.0650,67.3275,64.8571,61.9182
120,173.6184,168.0814,163.6485,158.9500,152.2113,146.5673,140.2326,136.0620,132.8063,130.0546,127.6159,125.3833,123.2890,121.2850,119.3340,117.4041,115.4646,113.4825,111.4186,109.2197,106.8056,104.0374,100.6236,95.7046,91.5726,86.9233,83.8517,81.0726,77.7555
140,197.4498,191.5653,186.8465,181.8405,174.6478,168.6130,161.8270,157.3517,153.8537,150.8941,148.2686,145.8629,143.6043,141.4413,139.3339,137.2476,135.1491,133.0028,130.7657,128.3800,125.7580,122.7476,119.0293,113.6594,109.1368,104.0343,100.6547,97.5908,93.9253
160,221.0197,214.8081,209.8238,204.5300,196.9152,190.5164,183.3106,178.5517,174.8283,171.6752,168.8759,166.3092,163.8977,161.5868,159.3338,157.1019,154.8555,152.5564,150.1583,147.5988,144.7834,141.5475,137.5457,131.7560,126.8700,121.3457,117.6791,114.3496,110.3592
180,244.3723,237.8548,232.6198,227.0563,219.0442,212.3039,204.7036,199.6786,195.7434,192.4086,189.4462,186.7282,184.1732,181.7234,179.3338,176.9652,174.5799,172.1373,169.5879,166.8653,163.8682,160.4206,156.1526,149.9687,144.7413,138.8205,134.8843,131.3050,127.0114
200,267.5388,260.7350,255.2638,249.4452,241.0578,233.9942,226.0210,220.7441,216.6088,213.1022,209.9854,207.1244,204.4337,201.8526,199.3337,196.8359,194.3193,191.7409,189.0486,186.1717,183.0028,179.3550,174.8353,168.2785,162.7280,156.4321,152.2408,148.4262,143.8420
250,324.8306,317.3609,311.3460,304.9393,295.6885,287.8815,279.0504,273.1944,268.5987,264.6970,261.2253,258.0355,255.0327,252.1497,249.3337,246.5387,243.7202,240.8297,237.8085,234.5768,231.0128,226.9048,221.8059,214.3915,208.0978,200.9387,196.1604,191.8020,186.5537
300,381.4239,373.3509,366.8439,359.9064,349.8745,341.3951,331.7885,325.4090,320.3971,316.1383,312.3460,308.8589,305.5741,302.4182,299.3336,296.2700,293.1786,290.0062,286.6878,283.1353,279.2143,274.6901,269.0679,260.8781,253.9122,245.9727,240.6631,235.8126,229.9620
500,603.4458,593.3580,585.2060,576.4931,563.8514,553.1269,540.9303,532.8028,526.4014,520.9505,516.0874,511.6081,507.3816,503.3147,499.3335,495.3734,491.3709,487.2569,482.9462,478.3231,473.2099,467.2962,459.9261,449.1467,439.9360,429.3874,422.3034,415.8081,407.9458
600,712.7726,701.8322,692.9809,683.5155,669.7690,658.0936,644.8004,635.9329,628.8157,622.9876,617.6713,612.7718,608.1468,603.6942,599.3335,594.9938,590.6057,586.0930,581.3623,576.2859,570.6681,564.1661,556.0560,544.1801,534.0185,522.3654,514.5285,507.3385,498.6219
